SeniorCitizen,tenure,MonthlyCharges,EstimatedTotalSpend,NumActiveServices,AvgMonthlyChargePerService,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_One year,Contract_Two year,TenureGroup_Established,TenureGroup_Loyal,TenureGroup_Veteran,Churn
0,14,70,980,2,23.333333333333332,0,1,1,0,0,0,0,1,0,0,0
0,17,85,1445,2,28.333333333333332,0,1,1,0,0,0,0,1,0,0,1
0,31,21,651,3,5.25,0,0,1,1,1,1,0,0,1,0,0
0,24,24,576,2,8.0,1,1,1,0,0,1,0,1,0,0,0
0,3,20,60,3,5.0,0,0,1,1,1,0,1,0,0,0,0
0,17,77,1309,2,25.666666666666668,1,0,1,0,0,0,0,1,0,0,1
0,66,69,4554,3,17.25,1,0,1,1,1,1,0,0,0,1,0
0,45,53,2385,2,17.666666666666668,1,0,1,0,0,1,0,0,1,0,0
0,35,92,3220,3,23.0,1,0,1,1,1,1,0,0,1,0,0
0,40,40,1600,1,20.0,1,1,0,0,0,0,1,0,1,0,0
0,10,85,850,3,21.25,0,0,1,1,1,0,0,0,0,0,1
0,52,64,3328,2,21.333333333333332,0,0,1,0,0,1,0,0,0,1,0
0,13,19,247,2,6.333333333333333,0,0,1,0,1,0,0,1,0,0,0
1,43,90,3870,3,22.5,0,0,1,1,1,0,0,0,1,0,0
0,41,20,820,2,6.666666666666667,0,0,1,0,0,0,1,0,1,0,0
1,52,50,2600,1,25.0,0,0,0,0,1,0,0,0,0,1,0
0,71,93,6603,2,31.0,0,0,1,0,0,0,1,0,0,1,0
0,61,106,6466,3,26.5,1,0,1,1,1,0,0,0,0,1,0
0,26,44,1144,1,22.0,0,0,0,0,0,0,1,0,1,0,0
0,72,68,4896,3,17.0,1,1,1,1,1,0,0,0,0,1,0
0,42,78,3276,3,19.5,0,0,1,1,1,1,0,0,1,0,0
0,57,65,3705,2,21.666666666666668,0,1,1,0,0,0,0,0,0,1,0
0,9,20,180,3,5.0,1,1,1,1,1,0,0,0,0,0,0
0,9,71,639,2,23.666666666666668,0,0,1,0,0,0,0,0,0,0,1
0,33,45,1485,2,15.0,1,0,1,0,0,0,0,0,1,0,0
0,1,19,19,2,6.333333333333333,1,0,1,0,1,0,1,0,0,0,0
0,7,79,553,3,19.75,0,0,1,1,1,0,0,0,0,0,1
0,1,72,72,3,18.0,1,0,1,1,0,0,1,0,0,0,1
0,65,20,1300,2,6.666666666666667,1,1,1,0,0,0,0,0,0,1,0
0,10,86,860,2,28.666666666666668,1,0,1,0,0,1,0,0,0,0,1
0,70,95,6650,3,23.75,1,0,1,1,1,0,0,0,0,1,0
0,29,99,2871,2,33.0,0,0,1,0,0,0,0,0,1,0,1
0,21,104,2184,2,34.666666666666664,1,1,1,0,0,0,1,1,0,0,1
0,1,91,91,2,30.333333333333332,1,0,1,0,0,0,0,0,0,0,1
0,5,20,100,2,6.666666666666667,1,0,1,0,0,0,0,0,0,0,0
0,56,90,5040,3,22.5,1,0,1,1,0,0,1,0,0,1,0
0,35,85,2975,2,28.333333333333332,1,1,1,0,1,0,0,0,1,0,1
0,10,20,200,2,6.666666666666667,1,1,1,0,0,0,1,0,0,0,0
0,31,50,1550,1,25.0,0,0,0,0,0,0,1,0,1,0,0
1,37,86,3182,2,28.666666666666668,1,0,1,0,1,0,0,0,1,0,1
1,57,95,5415,3,23.75,1,0,1,1,0,0,1,0,0,1,1
0,34,26,884,3,6.5,0,1,1,1,0,0,0,0,1,0,0
0,3,99,297,3,24.75,0,0,1,1,1,0,1,0,0,0,1
0,4,83,332,3,20.75,0,0,1,1,1,1,0,0,0,0,0
0,54,20,1080,3,5.0,0,0,1,1,0,0,1,0,0,1,0
0,6,20,120,3,5.0,1,1,1,1,1,0,1,0,0,0,0
0,22,60,1320,2,20.0,1,0,1,0,0,1,0,1,0,0,0
0,23,97,2231,2,32.333333333333336,1,0,1,0,0,0,0,1,0,0,0
0,68,58,3944,2,19.333333333333332,0,0,1,0,0,1,0,0,0,1,0
0,48,20,960,2,6.666666666666667,0,1,1,0,0,0,0,0,1,0,0
0,34,21,714,2,7.0,1,1,1,0,0,0,0,0,1,0,0
0,41,80,3280,3,20.0,0,0,1,1,1,0,0,0,1,0,0
0,9,76,684,3,19.0,1,0,1,1,1,1,0,0,0,0,0
1,18,104,1872,2,34.666666666666664,0,0,1,0,0,0,1,1,0,0,0
0,35,96,3360,2,32.0,1,0,1,0,0,0,0,0,1,0,0
0,55,79,4345,2,26.333333333333332,1,1,1,0,1,0,0,0,0,1,0
0,54,108,5832,3,27.0,1,0,1,1,1,0,0,0,0,1,0
1,2,79,158,2,26.333333333333332,0,0,1,0,0,1,0,0,0,0,1
0,52,106,5512,2,35.333333333333336,1,0,1,0,0,0,1,0,0,1,0
0,72,70,5040,3,17.5,1,0,1,1,0,0,1,0,0,1,0
0,9,70,630,2,23.333333333333332,1,0,1,0,0,0,0,0,0,0,0
0,3,70,210,3,17.5,0,1,1,1,1,0,0,0,0,0,0
1,4,75,300,2,25.0,1,0,1,0,1,0,0,0,0,0,0
0,69,76,5244,3,19.0,1,1,1,1,0,0,1,0,0,1,0
0,67,36,2412,1,18.0,0,1,0,0,0,1,0,0,0,1,0
0,4,80,320,2,26.666666666666668,1,0,1,0,0,0,1,0,0,0,1
0,13,46,598,1,23.0,1,0,0,0,1,0,0,1,0,0,1
0,45,81,3645,3,20.25,0,1,1,1,0,0,1,0,1,0,0
0,68,101,6868,2,33.666666666666664,1,0,1,0,0,0,0,0,0,1,0
0,69,74,5106,2,24.666666666666668,0,1,1,0,0,0,0,0,0,1,0
0,70,58,4060,1,29.0,0,0,0,0,1,1,0,0,0,1,0
0,1,20,20,3,5.0,0,0,1,1,1,0,0,0,0,0,1
0,45,26,1170,2,8.666666666666666,0,1,1,0,0,0,1,0,1,0,0
0,37,20,740,2,6.666666666666667,0,1,1,0,1,1,0,0,1,0,0
0,10,40,400,1,20.0,0,1,0,0,0,1,0,0,0,0,0
0,1,89,89,3,22.25,0,1,1,1,0,0,0,0,0,0,0
0,29,69,2001,3,17.25,1,1,1,1,1,0,0,0,1,0,0
1,72,104,7488,2,34.666666666666664,1,1,1,0,1,0,0,0,0,1,0
0,2,76,152,3,19.0,0,0,1,1,1,0,0,0,0,0,1
0,24,54,1296,2,18.0,1,0,1,0,0,1,0,1,0,0,0
0,4,79,316,2,26.333333333333332,0,0,1,0,0,0,0,0,0,0,1
0,72,19,1368,2,6.333333333333333,1,0,1,0,0,0,0,0,0,1,0
0,11,79,869,3,19.75,0,0,1,1,1,0,0,0,0,0,0
0,44,20,880,2,6.666666666666667,0,1,1,0,0,1,0,0,1,0,0
0,62,20,1240,2,6.666666666666667,1,1,1,0,1,0,0,0,0,1,0
0,70,25,1750,2,8.333333333333334,1,1,1,0,0,0,0,0,0,1,0
1,1,25,25,1,12.5,0,0,0,0,0,0,0,0,0,0,1
0,4,106,424,2,35.333333333333336,0,0,1,0,0,0,0,0,0,0,1
1,2,86,172,2,28.666666666666668,0,0,1,0,0,1,0,0,0,0,1
0,41,56,2296,3,14.0,0,0,1,1,0,0,0,0,1,0,0
1,1,19,19,3,4.75,0,0,1,1,0,1,0,0,0,0,1
1,72,84,6048,2,28.0,1,0,1,0,1,0,0,0,0,1,0
0,63,109,6867,2,36.333333333333336,0,0,1,0,0,0,1,0,0,1,0
0,68,80,5440,3,20.0,1,0,1,1,1,0,1,0,0,1,0
1,59,100,5900,2,33.333333333333336,0,0,1,0,0,0,1,0,0,1,0
1,52,49,2548,1,24.5,1,0,0,0,1,0,0,0,0,1,0
1,26,106,2756,3,26.5,1,1,1,1,0,0,1,0,1,0,1
0,66,57,3762,2,19.0,1,0,0,1,1,0,0,0,0,1,0
1,56,96,5376,3,24.0,0,0,1,1,1,0,1,0,0,1,0
0,72,79,5688,2,26.333333333333332,0,0,1,0,0,0,0,0,0,1,0
1,2,70,140,2,23.333333333333332,1,0,1,0,1,1,0,0,0,0,0
0,68,117,7956,2,39.0,1,0,1,0,1,0,0,0,0,1,0
0,61,85,5185,3,21.25,1,1,1,1,1,0,1,0,0,1,0
0,1,20,20,2,6.666666666666667,1,0,1,0,1,0,0,0,0,0,0
0,2,20,40,2,6.666666666666667,1,0,1,0,1,0,0,0,0,0,0
0,2,20,40,2,6.666666666666667,0,0,1,0,1,1,0,0,0,0,1
1,68,85,5780,2,28.333333333333332,1,1,1,0,0,0,1,0,0,1,0
0,9,68,612,2,22.666666666666668,1,0,1,0,1,0,0,0,0,0,0
0,13,83,1079,2,27.666666666666668,1,0,1,0,1,0,0,1,0,0,1
0,22,20,440,2,6.666666666666667,0,0,1,0,1,1,0,1,0,0,0
0,66,25,1650,2,8.333333333333334,1,1,1,0,0,0,0,0,0,1,0
0,8,20,160,2,6.666666666666667,1,1,1,0,0,0,0,0,0,0,0
0,2,70,140,2,23.333333333333332,1,1,1,0,0,0,1,0,0,0,0
0,3,56,168,2,18.666666666666668,1,0,1,0,0,1,0,0,0,0,0
0,5,92,460,3,23.0,1,0,1,1,1,0,0,0,0,0,1
0,13,20,260,2,6.666666666666667,1,0,1,0,0,0,0,1,0,0,0
0,53,65,3445,2,21.666666666666668,1,1,1,0,0,0,1,0,0,1,0
0,3,20,60,2,6.666666666666667,1,0,1,0,0,0,1,0,0,0,0
0,46,95,4370,3,23.75,1,0,1,1,0,0,1,0,1,0,0
0,39,40,1560,1,20.0,0,0,0,0,1,0,0,0,1,0,0
0,30,108,3240,2,36.0,0,1,1,0,1,0,0,0,1,0,0
0,23,99,2277,3,24.75,0,0,1,1,0,0,1,1,0,0,0
0,40,20,800,2,6.666666666666667,1,1,1,0,0,1,0,0,1,0,0
0,45,63,2835,2,21.0,0,0,1,0,0,0,0,0,1,0,0
0,53,20,1060,2,6.666666666666667,1,0,1,0,0,1,0,0,0,1,0
1,72,112,8064,2,37.333333333333336,0,0,1,0,0,1,0,0,0,1,0
0,28,20,560,2,6.666666666666667,1,1,1,0,0,1,0,0,1,0,0
0,49,67,3283,2,22.333333333333332,0,0,1,0,0,0,0,0,0,1,0
0,1,75,75,3,18.75,1,0,1,1,1,0,0,0,0,0,1
0,20,81,1620,3,20.25,0,0,1,1,0,0,1,1,0,0,0
0,53,61,3233,3,15.25,0,1,1,1,1,0,1,0,0,1,0
0,67,69,4623,2,23.0,1,0,1,0,1,0,0,0,0,1,0
0,11,74,814,2,24.666666666666668,1,0,1,0,1,0,0,0,0,0,1
0,52,86,4472,2,28.666666666666668,0,1,1,0,0,0,1,0,0,1,0
0,1,91,91,3,22.75,0,0,1,1,0,0,0,0,0,0,1
0,48,56,2688,3,14.0,0,0,1,1,0,0,0,0,1,0,0
0,7,75,525,2,25.0,0,0,1,0,0,0,1,0,0,0,1
0,7,71,497,3,17.75,1,1,1,1,1,0,0,0,0,0,0
0,12,84,1008,2,28.0,0,1,1,0,1,0,0,0,0,0,0
0,40,25,1000,2,8.333333333333334,1,0,1,0,0,0,1,0,1,0,0
0,55,78,4290,3,19.5,1,0,1,1,0,0,1,0,0,1,0
0,20,20,400,3,5.0,0,0,1,1,1,0,1,1,0,0,0
0,1,36,36,1,18.0,1,0,0,0,0,1,0,0,0,0,1
0,72,84,6048,2,28.0,0,1,1,0,1,0,0,0,0,1,0
0,63,110,6930,2,36.666666666666664,1,0,1,0,0,0,0,0,0,1,0
0,70,65,4550,1,32.5,0,0,0,0,1,0,0,0,0,1,0
0,8,64,512,3,16.0,0,0,1,1,0,1,0,0,0,0,0
0,1,46,46,2,15.333333333333334,0,0,1,0,1,0,0,0,0,0,1
0,16,20,320,2,6.666666666666667,1,0,1,0,0,0,0,1,0,0,0
0,11,25,275,2,8.333333333333334,0,1,0,1,1,1,0,0,0,0,0
0,11,75,825,2,25.0,1,0,1,0,1,1,0,0,0,0,1
0,41,88,3608,2,29.333333333333332,0,1,1,0,1,0,0,0,1,0,0
0,14,76,1064,2,25.333333333333332,1,1,1,0,0,0,0,1,0,0,0
0,61,89,5429,3,22.25,0,0,1,1,0,1,0,0,0,1,0
0,20,89,1780,2,29.666666666666668,0,0,1,0,0,0,0,1,0,0,0
0,47,106,4982,2,35.333333333333336,0,0,1,0,0,0,1,0,1,0,1
0,2,60,120,3,15.0,1,1,1,1,1,0,1,0,0,0,0
0,41,60,2460,3,15.0,1,1,1,1,1,1,0,0,1,0,0
0,72,25,1800,2,8.333333333333334,0,0,1,0,0,0,0,0,0,1,0
0,72,80,5760,2,26.666666666666668,0,1,1,0,0,0,0,0,0,1,0
0,46,96,4416,2,32.0,0,0,1,0,0,0,0,0,1,0,0
0,1,20,20,3,5.0,1,0,1,1,1,0,0,0,0,0,1
0,29,45,1305,2,15.0,1,1,0,1,1,0,0,0,1,0,0
0,37,100,3700,2,33.333333333333336,0,0,1,0,0,0,1,0,1,0,0
0,19,62,1178,3,15.5,1,0,1,1,1,1,0,1,0,0,0
0,49,78,3822,3,19.5,0,1,1,1,0,0,1,0,0,1,0
0,13,44,572,3,11.0,1,1,1,1,0,0,1,1,0,0,0
0,22,50,1100,2,16.666666666666668,0,0,1,0,1,0,0,1,0,0,0
1,53,97,5141,2,32.333333333333336,0,0,1,0,0,0,1,0,0,1,0
0,24,50,1200,3,12.5,1,0,1,1,0,0,1,1,0,0,1
0,37,20,740,2,6.666666666666667,0,0,1,0,1,0,0,0,1,0,0
0,6,55,330,2,18.333333333333332,1,1,1,0,0,0,1,0,0,0,1
0,7,80,560,2,26.666666666666668,0,0,1,0,0,0,0,0,0,0,1
0,12,20,240,3,5.0,0,1,1,1,1,0,0,0,0,0,1
0,71,25,1775,2,8.333333333333334,0,0,1,0,1,0,0,0,0,1,0
0,26,82,2132,3,20.5,1,1,1,1,1,0,0,0,1,0,0
0,6,46,276,3,11.5,0,0,1,1,1,0,0,0,0,0,0
0,32,88,2816,2,29.333333333333332,1,0,1,0,0,0,0,0,1,0,0
0,47,59,2773,2,19.666666666666668,0,0,1,0,0,0,0,0,1,0,0
0,31,21,651,2,7.0,0,1,1,0,0,0,0,0,1,0,0
0,52,84,4368,2,28.0,0,1,1,0,0,0,0,0,0,1,0
0,60,61,3660,1,30.5,0,0,0,0,0,0,0,0,0,1,0
0,48,66,3168,3,16.5,0,0,1,1,0,0,0,0,1,0,0
0,45,19,855,3,4.75,1,0,1,1,0,0,0,0,1,0,0
0,39,80,3120,2,26.666666666666668,0,0,1,0,1,0,0,0,1,0,1
1,1,86,86,3,21.5,0,0,1,1,1,1,0,0,0,0,1
0,1,70,70,2,23.333333333333332,1,0,1,0,0,0,0,0,0,0,1
0,6,79,474,2,26.333333333333332,0,0,1,0,1,0,0,0,0,0,1
0,9,76,684,2,25.333333333333332,1,0,1,0,1,0,0,0,0,0,0
0,72,114,8208,2,38.0,1,1,1,0,0,0,0,0,0,1,0
1,71,52,3692,2,17.333333333333332,1,0,0,1,1,0,0,0,0,1,0
0,71,20,1420,2,6.666666666666667,1,1,1,0,0,1,0,0,0,1,0
0,64,95,6080,2,31.666666666666668,0,0,1,0,1,1,0,0,0,1,0
0,28,20,560,2,6.666666666666667,0,1,1,0,1,0,0,0,1,0,0
0,70,115,8050,2,38.333333333333336,0,1,1,0,0,0,0,0,0,1,0
1,39,96,3744,2,32.0,1,0,1,0,0,0,0,0,1,0,1
0,16,20,320,2,6.666666666666667,0,1,1,0,1,0,1,1,0,0,0
1,66,111,7326,3,27.75,1,0,1,1,1,0,0,0,0,1,1
1,21,95,1995,3,23.75,0,0,1,1,0,0,0,1,0,0,0
0,44,85,3740,2,28.333333333333332,0,0,1,0,1,0,0,0,1,0,1
1,54,99,5346,2,33.0,0,0,1,0,0,1,0,0,0,1,0
0,4,57,228,3,14.25,1,0,1,1,1,0,0,0,0,0,0
1,60,110,6600,2,36.666666666666664,0,0,1,0,1,0,0,0,0,1,0
0,26,92,2392,2,30.666666666666668,1,0,1,0,0,0,1,0,1,0,0
0,24,79,1896,3,19.75,0,1,1,1,1,0,0,1,0,0,0
0,53,19,1007,3,4.75,1,1,1,1,0,0,1,0,0,1,0
0,46,19,874,3,4.75,0,1,1,1,1,0,0,0,1,0,0
0,56,89,4984,2,29.666666666666668,0,1,1,0,0,0,1,0,0,1,0
0,7,59,413,3,14.75,0,0,1,1,1,0,0,0,0,0,0
0,1,86,86,3,21.5,0,0,1,1,0,1,0,0,0,0,1
0,1,46,46,2,15.333333333333334,1,0,1,0,0,0,0,0,0,0,0
0,60,20,1200,2,6.666666666666667,1,0,1,0,1,0,0,0,0,1,0
0,61,21,1281,3,5.25,1,0,1,1,1,0,1,0,0,1,0
0,42,34,1428,1,17.0,0,0,0,0,1,0,0,0,1,0,1
0,27,20,540,2,6.666666666666667,1,0,1,0,1,0,0,0,1,0,0
0,9,85,765,3,21.25,0,1,1,1,1,1,0,0,0,0,1
0,72,20,1440,2,6.666666666666667,0,0,1,0,0,0,1,0,0,1,0
0,23,20,460,2,6.666666666666667,0,0,1,0,0,1,0,1,0,0,0
1,47,95,4465,2,31.666666666666668,0,0,1,0,1,0,0,0,1,0,1
1,54,19,1026,3,4.75,0,0,1,1,1,0,0,0,0,1,0
1,2,96,192,3,24.0,1,0,1,1,0,1,0,0,0,0,0
0,38,60,2280,1,30.0,1,0,0,0,0,0,1,0,1,0,0
1,47,100,4700,2,33.333333333333336,0,0,1,0,0,0,0,0,1,0,0
0,22,56,1232,2,18.666666666666668,1,0,1,0,0,1,0,1,0,0,0
0,2,91,182,2,30.333333333333332,1,0,1,0,0,0,1,0,0,0,0
0,72,79,5688,3,19.75,0,1,1,1,1,0,0,0,0,1,0
1,58,45,2610,1,22.5,1,0,0,0,1,0,0,0,0,1,1
0,69,79,5451,2,26.333333333333332,1,1,1,0,1,0,0,0,0,1,0
0,18,70,1260,2,23.333333333333332,1,0,1,0,0,0,0,1,0,0,0
0,55,20,1100,3,5.0,0,1,1,1,1,0,0,0,0,1,0
0,46,101,4646,2,33.666666666666664,0,0,1,0,0,0,1,0,1,0,0
0,5,19,95,2,6.333333333333333,1,0,1,0,0,1,0,0,0,0,0
0,4,34,136,2,11.333333333333334,0,0,0,1,1,1,0,0,0,0,1
1,5,90,450,3,22.5,1,0,1,1,1,0,0,0,0,0,1
0,65,61,3965,3,15.25,0,1,1,1,1,0,0,0,0,1,0
0,35,21,735,3,5.25,1,0,1,1,0,1,0,0,1,0,0
1,45,97,4365,3,24.25,0,0,1,1,1,0,1,0,1,0,0
0,2,20,40,3,5.0,0,0,1,1,0,0,1,0,0,0,0
0,22,80,1760,2,26.666666666666668,0,1,1,0,1,0,0,1,0,0,0
0,70,69,4830,3,17.25,1,1,1,1,1,0,0,0,0,1,0
0,30,66,1980,2,22.0,0,1,1,0,0,0,0,0,1,0,0
0,61,108,6588,3,27.0,1,0,1,1,0,0,1,0,0,1,0
0,29,20,580,3,5.0,0,0,1,1,0,0,0,0,1,0,0
0,61,106,6466,2,35.333333333333336,1,0,1,0,0,1,0,0,0,1,1
0,25,90,2250,2,30.0,1,1,1,0,0,1,0,0,1,0,1
0,71,113,8023,3,28.25,1,0,1,1,1,0,0,0,0,1,0
0,1,35,35,1,17.5,0,0,0,0,1,0,0,0,0,0,0
0,62,70,4340,2,23.333333333333332,0,1,1,0,0,0,1,0,0,1,0
0,64,74,4736,2,24.666666666666668,1,0,1,0,0,0,0,0,0,1,0
0,64,91,5824,2,30.333333333333332,0,1,1,0,1,1,0,0,0,1,0
1,29,84,2436,3,21.0,1,0,1,1,0,0,1,0,1,0,0
0,2,71,142,2,23.666666666666668,0,0,1,0,0,1,0,0,0,0,1
0,1,51,51,3,12.75,1,0,1,1,1,0,0,0,0,0,1
0,45,25,1125,2,8.333333333333334,0,1,1,0,0,0,0,0,1,0,0
0,66,114,7524,2,38.0,1,0,1,0,1,0,0,0,0,1,0
0,54,107,5778,3,26.75,0,0,1,1,0,0,0,0,0,1,1
0,70,80,5600,3,20.0,0,1,1,1,1,0,1,0,0,1,0
1,37,92,3404,2,30.666666666666668,1,0,1,0,0,0,0,0,1,0,1
